barcode,building,,coordinate_1_label,coordinate_2_indicator,coordinate_1_indicator,coordinate_2_label,coordinate_2_indicator,coordinate_3_label,coordinate_3_indicator,dimensions (width x height x depth,repo_uri,,,,,,,
/locations/2074,82055,/location_profiles/15,/repositories/12,A,"SML, B57 [Range: 2, Section: a, Shelf: 2]",SML,B57,Range,2,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2075,82061,/location_profiles/15,/repositories/12,A,"SML, B57 [Range: 2, Section: a, Shelf: 3]",SML,B57,Range,2,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2076,82067,/location_profiles/15,/repositories/12,A,"SML, B57 [Range: 2, Section: a, Shelf: 4]",SML,B57,Range,2,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:08,amd243,
/locations/2055,82053,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 3, Section: a, Shelf: 1]",SML,B57,Range,3,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2056,82059,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 3, Section: a, Shelf: 2]",SML,B57,Range,3,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2057,82065,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 3, Section: a, Shelf: 3]",SML,B57,Range,3,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2058,82071,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 3, Section: a, Shelf: 4]",SML,B57,Range,3,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:08,amd243,
/locations/2059,82077,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 3, Section: a, Shelf: 5]",SML,B57,Range,3,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:13,amd243,
/locations/2060,82083,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 3, Section: a, Shelf: 6]",SML,B57,Range,3,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:18,amd243,
/locations/2061,82022,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 3, Section: b, Shelf: 1]",SML,B57,Range,3,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2062,82028,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 3, Section: b, Shelf: 2]",SML,B57,Range,3,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2063,82034,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 3, Section: b, Shelf: 3]",SML,B57,Range,3,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2064,82040,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 3, Section: b, Shelf: 4]",SML,B57,Range,3,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:08,amd243,
/locations/2065,82046,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 3, Section: b, Shelf: 5]",SML,B57,Range,3,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2066,82052,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 3, Section: b, Shelf: 6]",SML,B57,Range,3,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:18,amd243,
/locations/2067,82058,/location_profiles/13,/repositories/12,C,"SML, B57 [Range: 3, Section: c, Shelf: 1]",SML,B57,Range,3,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2068,82064,/location_profiles/13,/repositories/12,C,"SML, B57 [Range: 3, Section: c, Shelf: 2]",SML,B57,Range,3,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2069,82070,/location_profiles/13,/repositories/12,C,"SML, B57 [Range: 3, Section: c, Shelf: 3]",SML,B57,Range,3,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2070,82076,/location_profiles/13,/repositories/12,C,"SML, B57 [Range: 3, Section: c, Shelf: 4]",SML,B57,Range,3,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:08,amd243,
/locations/2071,82082,/location_profiles/13,/repositories/12,C,"SML, B57 [Range: 3, Section: c, Shelf: 5]",SML,B57,Range,3,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2072,82021,/location_profiles/13,/repositories/12,C,"SML, B57 [Range: 3, Section: c, Shelf: 6]",SML,B57,Range,3,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:18,amd243,
/locations/2031,82027,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 4, Section: a, Shelf: 1]",SML,B57,Range,4,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2032,82033,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 4, Section: a, Shelf: 2]",SML,B57,Range,4,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2033,82039,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 4, Section: a, Shelf: 3]",SML,B57,Range,4,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2034,82045,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 4, Section: a, Shelf: 4]",SML,B57,Range,4,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2035,82051,/location_profiles/10,/repositories/12,A,"SML, B57 [Range: 4, Section: a, Shelf: 5]",SML,B57,Range,4,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2037,82057,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 4, Section: b, Shelf: 1]",SML,B57,Range,4,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2038,82063,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 4, Section: b, Shelf: 2]",SML,B57,Range,4,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2039,82069,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 4, Section: b, Shelf: 3]",SML,B57,Range,4,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2040,82075,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 4, Section: b, Shelf: 4]",SML,B57,Range,4,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2041,82081,/location_profiles/10,/repositories/12,B,"SML, B57 [Range: 4, Section: b, Shelf: 5]",SML,B57,Range,4,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2043,82020,/location_profiles/10,/repositories/12,C,"SML, B57 [Range: 4, Section: c, Shelf: 1]",SML,B57,Range,4,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2044,82026,/location_profiles/10,/repositories/12,C,"SML, B57 [Range: 4, Section: c, Shelf: 2]",SML,B57,Range,4,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2045,82032,/location_profiles/10,/repositories/12,C,"SML, B57 [Range: 4, Section: c, Shelf: 3]",SML,B57,Range,4,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2046,82038,/location_profiles/10,/repositories/12,C,"SML, B57 [Range: 4, Section: c, Shelf: 4]",SML,B57,Range,4,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2047,82044,/location_profiles/10,/repositories/12,C,"SML, B57 [Range: 4, Section: c, Shelf: 5]",SML,B57,Range,4,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2049,82050,/location_profiles/12,/repositories/12,D,"SML, B57 [Range: 4, Section: d, Shelf: 1]",SML,B57,Range,4,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2050,82056,/location_profiles/12,/repositories/12,D,"SML, B57 [Range: 4, Section: d, Shelf: 2]",SML,B57,Range,4,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2051,82062,/location_profiles/12,/repositories/12,D,"SML, B57 [Range: 4, Section: d, Shelf: 3]",SML,B57,Range,4,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2052,82068,/location_profiles/12,/repositories/12,D,"SML, B57 [Range: 4, Section: d, Shelf: 4]",SML,B57,Range,4,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2053,82074,/location_profiles/12,/repositories/12,D,"SML, B57 [Range: 4, Section: d, Shelf: 5]",SML,B57,Range,4,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/2054,82080,/location_profiles/12,/repositories/12,D,"SML, B57 [Range: 4, Section: d, Shelf: 6]",SML,B57,Range,4,Section,,Shelf,6,6/1/15 15:50,admin,10/31/18 16:19,amd243,
/locations/286,82456,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  136]",SML,B57-A,Drawer,136,NULL,NULL,NULL,NULL,6/1/15 15:46,admin,6/1/15 15:46,admin,
/locations/2367,82462,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  137]",SML,B57-A,Drawer,137,NULL,NULL,NULL,NULL,6/1/15 15:50,admin,6/1/15 15:50,admin,
/locations/418,82468,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  138]",SML,B57-A,Drawer,138,NULL,NULL,NULL,NULL,6/1/15 15:47,admin,6/1/15 15:47,admin,
/locations/2354,82474,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  139]",SML,B57-A,Drawer,139,NULL,NULL,NULL,NULL,6/1/15 15:50,admin,6/1/15 15:50,admin,
/locations/2355,82480,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  140]",SML,B57-A,Drawer,140,NULL,NULL,NULL,NULL,6/1/15 15:50,admin,6/1/15 15:50,admin,
/locations/2368,82228,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  30]",SML,B57-A,Drawer,30,NULL,NULL,NULL,NULL,6/1/15 15:50,admin,6/1/15 15:50,admin,
/locations/278,82234,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  31]",SML,B57-A,Drawer,31,NULL,NULL,NULL,NULL,6/1/15 15:46,admin,6/1/15 15:46,admin,
/locations/271,82240,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  32]",SML,B57-A,Drawer,32,NULL,NULL,NULL,NULL,6/1/15 15:46,admin,6/1/15 15:46,admin,
/locations/2369,82246,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  33]",SML,B57-A,Drawer,33,NULL,NULL,NULL,NULL,6/1/15 15:50,admin,6/1/15 15:50,admin,
/locations/276,82252,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  34]",SML,B57-A,Drawer,34,NULL,NULL,NULL,NULL,6/1/15 15:46,admin,6/1/15 15:46,admin,
/locations/2308,82258,/location_profiles/6,/repositories/12,,"SML, B57-A [Drawer:  35]",SML,B57-A,Drawer,35,NULL,NULL,NULL,NULL,6/1/15 15:50,admin,6/1/15 15:50,admin,
/locations/2103,82807,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 2, Section: a, Shelf: 1]",SML,B57-B,Range,2,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/2104,82782,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 2, Section: a, Shelf: 2]",SML,B57-B,Range,2,Section,,Shelf,2,6/1/15 15:50,admin,10/31/18 15:57,amd243,
/locations/2105,82788,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 2, Section: a, Shelf: 3]",SML,B57-B,Range,2,Section,,Shelf,3,6/1/15 15:50,admin,10/31/18 16:02,amd243,
/locations/2106,82794,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 2, Section: a, Shelf: 4]",SML,B57-B,Range,2,Section,,Shelf,4,6/1/15 15:50,admin,10/31/18 16:09,amd243,
/locations/2107,82800,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 2, Section: a, Shelf: 5]",SML,B57-B,Range,2,Section,,Shelf,5,6/1/15 15:50,admin,10/31/18 16:14,amd243,
/locations/434,82806,/location_profiles/28,/repositories/12,A,"SML, B57-B [Range: 2, Section: a, Shelf: 6]",SML,B57-B,Range,2,Section,,Shelf,6,6/1/15 15:47,admin,10/31/18 16:19,amd243,
/locations/2108,82775,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 2, Section: b, Shelf: 1]",SML,B57-B,Range,2,Section,,Shelf,1,6/1/15 15:50,admin,10/31/18 15:52,amd243,
/locations/269,82781,/location_profiles/28,/repositories/12,B,"SML, B57-B [Range: 2, Section: b, Shelf: 2]",SML,B57-B,Range,2,Section,,Shelf,2,6/1/15 15:46,admin,10/31/18 15:57,amd243,
