location_uri,barcode,title,room,coordinate_1_indicator,tc_uri,indicator,barcode
/locations/3032,NULL,"SML, B70 [Map Print Carton:  8]",B70,8,NULL,NULL,NULL
/locations/3970,NULL,"SML, B70 [Range: 8, Section: e, Shelf: 2]",B70,8,NULL,NULL,NULL
/locations/3971,NULL,"SML, B70 [Range: 8, Section: e, Shelf: 3]",B70,8,NULL,NULL,NULL
/locations/3972,NULL,"SML, B70 [Range: 8, Section: e, Shelf: 2]",B70,8,NULL,NULL,NULL
/locations/524,NULL,"SML, B70 [Range: 9, Section: d, Shelf: 1]",B70,9,NULL,NULL,NULL
/locations/525,NULL,"SML, B70 [Range: 9, Section: d, Shelf: 2]",B70,9,NULL,NULL,NULL
/locations/526,NULL,"SML, B70 [Range: 9, Section: d, Shelf: 3]",B70,9,NULL,NULL,NULL
/locations/527,NULL,"SML, B70 [Range: 9, Section: d, Shelf: 4]",B70,9,NULL,NULL,NULL
/locations/528,NULL,"SML, B70 [Range: 9, Section: d, Shelf: 5]",B70,9,NULL,NULL,NULL
/locations/529,NULL,"SML, B70 [Range: 9, Section: d, Shelf: 6]",B70,9,NULL,NULL,NULL
/locations/530,NULL,"SML, B70 [Range: 9, Section: d, Shelf: 7]",B70,9,NULL,NULL,NULL
/locations/531,NULL,"SML, B70 [Range: 9, Section: f, Shelf: 1]",B70,9,NULL,NULL,NULL
/locations/1746,NULL,"SML, B70 [Range: 9, Section: f, Shelf: 2]",B70,9,NULL,NULL,NULL
/locations/1747,NULL,"SML, B70 [Range: 9, Section: f, Shelf: 3]",B70,9,NULL,NULL,NULL
/locations/1748,NULL,"SML, B70 [Range: 9, Section: f, Shelf: 4]",B70,9,NULL,NULL,NULL
/locations/1749,NULL,"SML, B70 [Range: 9, Section: f, Shelf: 5]",B70,9,NULL,NULL,NULL
/locations/1750,NULL,"SML, B70 [Range: 9, Section: f, Shelf: 6]",B70,9,NULL,NULL,NULL
/locations/1751,NULL,"SML, B70 [Range: 9, Section: f, Shelf: 7]",B70,9,NULL,NULL,NULL
/locations/1752,NULL,"SML, B70 [Range: 9, Section: g, Shelf: 1]",B70,9,NULL,NULL,NULL
/locations/1753,NULL,"SML, B70 [Range: 9, Section: g, Shelf: 2]",B70,9,NULL,NULL,NULL
/locations/1754,NULL,"SML, B70 [Range: 9, Section: g, Shelf: 3]",B70,9,NULL,NULL,NULL
/locations/1755,NULL,"SML, B70 [Range: 9, Section: g, Shelf: 4]",B70,9,NULL,NULL,NULL
