location_uri,barcode,dimensions,repo_owner,coordinate_2_indicator,title,building,
/locations/1825,83033,/location_profiles/10,/repositories/12,C,"SML, B70-B [Range: 2, Section: c, Shelf: 2]",SML,
/locations/1826,83039,/location_profiles/10,/repositories/12,C,"SML, B70-B [Range: 2, Section: c, Shelf: 3]",SML,
/locations/1827,83045,/location_profiles/10,/repositories/12,C,"SML, B70-B [Range: 2, Section: c, Shelf: 4]",SML,
/locations/1828,83051,/location_profiles/10,/repositories/12,C,"SML, B70-B [Range: 2, Section: c, Shelf: 5]",SML,
/locations/1829,83057,/location_profiles/10,/repositories/12,C,"SML, B70-B [Range: 2, Section: c, Shelf: 6]",SML,
/locations/1830,83103,/location_profiles/10,/repositories/12,C,"SML, B70-B [Range: 2, Section: c, Shelf: 7]",SML,0
/locations/1831,83058,/location_profiles/10,/repositories/12,D,"SML, B70-B [Range: 2, Section: d, Shelf: 1]",SML,
/locations/1832,83064,/location_profiles/10,/repositories/12,D,"SML, B70-B [Range: 2, Section: d, Shelf: 2]",SML,
/locations/1833,83070,/location_profiles/10,/repositories/12,D,"SML, B70-B [Range: 2, Section: d, Shelf: 3]",SML,
/locations/1834,83009,/location_profiles/10,/repositories/12,D,"SML, B70-B [Range: 2, Section: d, Shelf: 4]",SML,
/locations/1835,83015,/location_profiles/10,/repositories/12,D,"SML, B70-B [Range: 2, Section: d, Shelf: 5]",SML,
/locations/1836,83021,/location_profiles/10,/repositories/12,D,"SML, B70-B [Range: 2, Section: d, Shelf: 6]",SML,
/locations/1837,83109,/location_profiles/10,/repositories/12,D,"SML, B70-B [Range: 2, Section: d, Shelf: 7]",SML,0
