name,dimension_units,depth,height,width
SML B51-A Standard Shelf,inches,19,11,40.5
SML B51-A Shallow Shelf,inches,11.5,11,40.5
SML B51-A Short Shelf,inches,19,5,40.5
SML B70 Standard Shelf,inches,15,12,39
SML B70 Short Shelf,inches,15,5,39
